table_name,wave,reason,status
arc_states,B,记忆与连续性,planned
architecture_artifacts,C,规划资产,planned
architecture_fidelity_reviews,C,规划资产,planned
architecture_impacts,C,规划资产,planned
architecture_planning_runs,C,规划资产,planned
architecture_plans,C,规划资产,planned
architecture_reviews,C,规划资产,planned
books,A,核心创作数据,planned
chapter_completion_checkpoints,B,记忆与连续性,planned
chapter_facts,B,记忆与连续性,planned
chapters,A,核心创作数据,planned
characters,A,核心创作数据,planned
continuity_candidate_sets,B,记忆与连续性,planned
continuity_update_results,B,记忆与连续性,planned
expectation_ledgers,B,记忆与连续性,planned
factions,A,核心创作数据,planned
manuscript_editions,D,高级完成度或未确认消费者,deferred
narrative_promises,B,记忆与连续性,planned
planning_change_proposals,C,规划资产,planned
planning_explorations,C,规划资产,planned
planning_messages,C,规划资产,planned
projects,A,核心创作数据,planned
prompt_recipes,C,规划资产,planned
relationship_states,B,记忆与连续性,planned
reviews,A,核心创作数据,planned
rules,A,核心创作数据,planned
story_direction_sets,C,规划资产,planned
story_planning_activations,C,规划资产,planned
story_planning_runs,C,规划资产,planned
story_planning_windows,C,规划资产,planned
timelines,A,核心创作数据,planned
volumes,A,核心创作数据,planned
work_acceptance_checkpoints,D,高级完成度或未确认消费者,deferred
work_completion_activations,D,高级完成度或未确认消费者,deferred
work_completion_conditions,D,高级完成度或未确认消费者,deferred
work_completion_reviews,D,高级完成度或未确认消费者,deferred
worlds,A,核心创作数据,planned
